"Country or Area","Year","Value","Value Footnotes","Unit"
"France","2015","429730.09375","","million cubic metres"
"France","2014","567709.1875","","million cubic metres"
"France","2013","578551.625","","million cubic metres"
"France","2012","516008.3125","","million cubic metres"
"France","2011","428158.1875","","million cubic metres"
"France","2010","502397.1875","","million cubic metres"
"France","2009","474837.40625","","million cubic metres"
"France","2008","562079.6875","","million cubic metres"
"France","2007","509243.8125","","million cubic metres"
"France","2006","509886.1875","","million cubic metres"
"France","2005","401743","","million cubic metres"
"France","2004","473653.59375","","million cubic metres"
"France","2003","427897.6875","","million cubic metres"
"France","2002","535356.625","","million cubic metres"
"France","2001","542698.3125","","million cubic metres"
"France","2000","572225.5","","million cubic metres"
"France","1999","583224.6875","","million cubic metres"
"France","1998","484093.3125","","million cubic metres"
"France","1997","463500.6875","","million cubic metres"
"France","1996","496655.8125","","million cubic metres"
"France","1995","526938.5","","million cubic metres"
"France","1994","602141.625","","million cubic metres"
"France","1993","473114.90625","","million cubic metres"
"France","1992","467894.5","","million cubic metres"
"France","1991","412166.59375","","million cubic metres"
"France","1990","458802.90625","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","2010","231974","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","2009","284961","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","2008","316187","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","2007","292292","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","2006","298282","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","2005","273842.09375","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","2004","307430.6875","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","2003","228855.90625","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","2002","324684.59375","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","2001","266176.6875","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","2000","338989.5","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","1999","314559.1875","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","1998","321154.8125","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","1997","260018.703125","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","1996","232621.59375","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","1995","260019","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","1994","300860.6875","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","1993","284625.40625","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","1992","300860.6875","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","1991","253169.5","","million cubic metres"
"United Kingdom of Great Britain and Northern Ireland","1990","297636","","million cubic metres"

